,studentAnswer,referenceAnswer,ref_1,ref_2,accuracy
2677,"No, the one with 100 milliliters of water is more concentrated because the solid has less room.","Yes. If both solutions are saturated (and at the same temperature), the solutions will both have the same concentration. Once a solution is saturated, the solution cannot get any more concentrated.",Yes because they both cannot hold any more solid.,Yes because they both cannot hold any more solid.,incorrect
2678,No because Richard has more water than Mariella and Mariella only has 100 milliliters of water. And it is more crowded with 100 milliliters of water.,"Yes. If both solutions are saturated (and at the same temperature), the solutions will both have the same concentration. Once a solution is saturated, the solution cannot get any more concentrated.",Yes because they both cannot hold any more solid.,Yes because they both cannot hold any more solid.,incorrect
2679,"No, because Richard has more concentration space than Mariella because he has more water which means less saturation room.","Yes. If both solutions are saturated (and at the same temperature), the solutions will both have the same concentration. Once a solution is saturated, the solution cannot get any more concentrated.",Yes because they both cannot hold any more solid.,Yes because they both cannot hold any more solid.,incorrect
2680,"Yes, because they are both saturated and if they add more it will just become more saturated.","Yes. If both solutions are saturated (and at the same temperature), the solutions will both have the same concentration. Once a solution is saturated, the solution cannot get any more concentrated.",Yes because they both cannot hold any more solid.,Yes because they both cannot hold any more solid.,incorrect
2681,Yes. Because they both put sort of the same amount of water into the cup and so they both have the same concentration.,"Yes. If both solutions are saturated (and at the same temperature), the solutions will both have the same concentration. Once a solution is saturated, the solution cannot get any more concentrated.",Yes because they both cannot hold any more solid.,Yes because they both cannot hold any more solid.,incorrect
2682,"No, because Mariella's solution had more water.","Yes. If both solutions are saturated (and at the same temperature), the solutions will both have the same concentration. Once a solution is saturated, the solution cannot get any more concentrated.",Yes because they both cannot hold any more solid.,Yes because they both cannot hold any more solid.,incorrect
2683,Yes there is the same amount of solution.,"Yes. If both solutions are saturated (and at the same temperature), the solutions will both have the same concentration. Once a solution is saturated, the solution cannot get any more concentrated.",Yes because they both cannot hold any more solid.,Yes because they both cannot hold any more solid.,incorrect
2684,"No, because if they did then both the water would be the same.","Yes. If both solutions are saturated (and at the same temperature), the solutions will both have the same concentration. Once a solution is saturated, the solution cannot get any more concentrated.",Yes because they both cannot hold any more solid.,Yes because they both cannot hold any more solid.,incorrect
2685,No because Richard has way more solution than Mariella so it is not the same amount.,"Yes. If both solutions are saturated (and at the same temperature), the solutions will both have the same concentration. Once a solution is saturated, the solution cannot get any more concentrated.",Yes because they both cannot hold any more solid.,Yes because they both cannot hold any more solid.,incorrect
2686,B has more solute than A does therefore B will weigh more since the solute is equally spread.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2687,They are the same amount of water different in spoons. That is why B weighs more because of spoons.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2688,Because you would have to take 50 milliliters of water out of cup B or else cup B would be heavier. So it would more fair.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2689,I chose cup A because it seems more concentrated.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2690,Because he pour only 50 milliliters of solution in each cup.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2691,Because B is the double of A.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2692,Because cup B has more spoons of the solute and has more water.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2693,"Because if you just took 50 milliliters of water out of each, they would be equal. I got this one wrong.",The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2694,I think the second one because B has more scoops of solute.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2695,Because now there is now only some of water in each and 4 is more than 2 and cup B more concentration.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2696,I picked cup B because I thought it would have more spoons of solute than cup A.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2697,Because 2 is half of 4 spoons and 50 milliliters is half of 100.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,correct
2698,Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,correct
2699,They both have 2 spoonfuls per 50 milliliters so when you compare 50 milliliters from each they both have 2 spoonfuls in the 50 milliliters.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,correct
2700,Because they both have the same amount of water but have different amount of salt.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2701,I think cup B would be more heavy because cup B is more concentrated.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2702,They are going to be even.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2703,Cup B is more concentrated than cup A.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2704,Because solution B has more water in the top.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2705,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,correct
2706,B because it gave 100 milliliters water and 4 spoons of solute. And A gave 5 milliliters water 2 spoon of salt so I stay with B.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2707,I chose the same because he took bottle A and half of bottle B and half of bottle B equals A.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,correct
2708,It is like x like 50 times 2 equals 100 so then 2 spoons of solute equals 50.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2709,"All solutions are mixtures, and a solution is when something disappears into the other.",The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2710,Solution would need to be doubled.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2711,Because he took the same amount from each bottle.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2712,Because they both have the same amount of solution in each cup. So both cups weigh the same.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2713,Because there is 2 spoons and 50 milliliters and then there is 4 spoons and 100 milliliters so they are going to weigh the same.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,correct
2714,Because there is more water and solute.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2715,I chose that one because in bottle B they took 50 milliliters but in it they put 4 spoons.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2716,I chose this one because in the picture above there is more water in cup B.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2717,Solution B has more water so it weighs more than solution A.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2718,Cup B because it is just double.,The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.,"They are the same, because there is a pattern, for every 2 spoons of solute add 50 milliliters of water.",Because Nigel took out the same amount of solutions. There is 2 spoons for 50 milliliters of water. The concentration are the same.,incorrect
2719,If you take the same amount of water and weight it will measure to the same things.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,correct
2720,I chose cup 2 because it has the same water 2 has more solute.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2721,"The solutions have the same amount of solute, there is just more on the bottom of the cup in cup 2.","Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,correct
2722,I chose A because in each cup you could put 4 spoons and it dissolved. When the fifth scoop went in it did not dissolve. The undissolved part is not part of the solution.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,correct
2723,Once a solution is saturated it is at its highest level of concentration.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2724,My choice is A because it might weigh the same and they both is saturated.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,correct
2725,Because both of the cups one and 2 have the same amount of concentrations because they are both saturated.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,correct
2726,They are the same because once a solution is saturated it cannot go further.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,correct
2727,I chose cup 2 because it has more solute in it.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2728,I picked C because cup 2 has more solute than cup one.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2729,Because it has more spoons of solute but it has the same amount of water.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2730,Because there is the same amount of solvent but there is more solute in cup 2.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2731,"Each solution has same amount of water, which means they both hold the same amount of solute after saturation.","Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,correct
2732,Because they are both at the highest point of concentration.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,correct
2733,Because it is the same.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2734,It does not show how much dissolved and how much did not.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2735,Because both cup one and 2 are already concentrated. Neither cup one or 2 can hold any more solvent.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2736,"Because Tabby said that the solute and water were the same and I believe him and it says that they both have the same thing on the bottom clear, material on the bottom.","Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2737,It clearly states that 2 has more.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2738,Because is look like it.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2739,Same water but more scoops.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2740,Because both looked alike to me.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2741,Because cup 2 have 8 spoons.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2742,I think that the answer is cup 2 because it has more spoons.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2743,Because solution 2 is more concentrate because it has more spoonfuls.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2744,I put C because cup 2 has more spoons of solute so it would be heavier.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2745,"Because cup 2 has more salt, 8 spoons and because it has more material on the bottom.","Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2746,I put A because it is the same because it the same amount of water and only 2 scoops more than the other one.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2747,I would need to know how much stuff is at the bottom.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2748,Because they have the same amount of water but cup 2 has more spoons of solute.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2749,Both have the same because they have the same milliliters of water and they are both the same.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2750,Cup one might have 6 spoons of solute and cup 2 has 8 spoons and both have 50 milliliters of water.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2751,Cup one has less material on the bottom.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2752,Because cup one has the same amount of water but different amount of solute.,"Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2753,"The solutions both have the same amount of water, but not the same amount of clear material on the bottom. So cup one wins.","Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,incorrect
2754,"Because both are saturated, and if you used 6 spoons for cup 2 both cups are still saturated.","Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.","Each solution has same amount of water, which means they both hold the same amount of solute after saturation.",My choice is A because it might weigh the same and they both is saturated.,correct
2755,Jorge knew a chemical reaction was occurred because it started bubble.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
2756,Because the mixture bubbled.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
2757,Because gas being formed can be a sign of a chemical reaction.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,correct
2758,Because he knew the bubbles meant carbon dioxide was being formed.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,correct
2759,Because the balloon expanded and filled with gas and it bubbled up.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,correct
2760,Because it started to bubble or to fizz and it is the proof of gas.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,correct
2761,Because when it bubbles that means a reaction is taking place.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
2762,Because bubbling is a sign of a chemical reaction.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
2763,Because it bubbled.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
2764,Because the solution began to bubble.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
2765,Because whenever it fizzes or bubbles that means it is a reaction.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
2766,Because the bubbles appear it makes a gas.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,correct
2767,He knew because there are bubbles in the container.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
2768,Bubble.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
2769,Because gas bubbles appeared.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,correct
2770,He knew because first he put a material in the water and started to bubble and that made gas so that is a clue of a chemical reaction.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,correct
2771,Because there were gas bubbles.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,correct
2772,Because he saw it bubble up that is why he knew it was a chemical reaction.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
2773,When he put the solid in the liquid it start to bubbles.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
